ID, LOCATION, NAME, #C1, #C2, #C3, #C4
9,''-10.0058;-36.0169'',JOAO_LIMA,10,10,10,10
113,''-9.95322;-36.0805'',MARIA_DO_SANTOS,10,10,10,10
141,''-9.9628;-36.0618'',VINICIUS_DE_MORAES,10,10,10,10
88,''-9.94676;-36.0989'',IPIRANGA,10,10,10,10
148,''-9.96316;-36.0459'',FARIA_LIMA,10,10,10,10
115,''-9.95477;-36.0785'',JUNINHO_PERNAMBUCANO,10,10,10,10
33,''-9.79033;-36.1046'',AIRTON_SENNA,10,10,10,10
8,''-10.0058;-36.0168'',LULA_DA_SILVA,10,10,10,10
4,''-10.0022;-36.0182'',TOQUINHO,10,10,10,10
10,''-10.0063;-36.0169'',RITA_LEE,20,20,20,20
105,''-9.95043;-36.0875'',GETULIO_VARGAS,20,20,20,20
10,''-10.0063;-36.0169'',PAULO_COELHO,20,20,20,20
47,''-9.87374;-36.1459'',EMERSON_FITTIPALDI,20,20,20,20
148,''-9.96316;-36.0459'',OSCAR_NIEMEYER,10,10,10,10
80,''-9.94521;-36.0796'',JOAO_GILBERTO,10,10,10,10
131,''-9.96211;-36.0478'',TOM_JOBIM,10,10,10,10
127,''-9.96184;-36.0499'',VELHO_BARRERO,20,20,20,20
73,''-9.94329;-36.1033'',ROBERTO_CARLOS,10,10,10,10
167,''-9.99554;-36.0332'',ROMARIO,10,10,10,10
148,''-9.96316;-36.0459'',VANESSA_DA_MATA,10,10,10,10
