ID, LOCATION, NAME, #C1, #C2, #C3, #C4
1,''-9.95056;-36.089'',''ST106-AL3'',1,1,0,1
2,''-9.95164;-36.0492'',''ST109-AL1'',0,1,0,0
3,''-9.95254;-36.1845'',''ST111-AL5'',2,1,0,2
4,''-9.95324;-36.0805'',''ST114-AL4'',2,1,0,1
5,''-9.95477;-36.0785'',''ST115-AL2'',0,0,1,1
6,''-9.95516;-36.0779'',''ST118-AL5'',0,1,2,2
7,''-9.95818;-36.0744'',''ST120-AL5'',1,2,1,1
8,''-9.95937;-36.0731'',''ST121-AL4'',0,2,0,2
9,''-9.96099;-36.0696'',''ST123-AL3'',1,0,1,1
10,''-9.96174;-36.0496'',''ST126-AL7'',2,2,2,1
11,''-9.96207;-36.0503'',''ST129-AL2'',1,0,1,0
12,''-9.96211;-36.0478'',''ST130-AL5'',1,0,2,2
13,''-9.96252;-36.0405'',''ST133-AL4'',1,2,1,0
14,''-9.96268;-36.0466'',''ST136-AL6'',2,1,2,1
15,''-9.96274;-36.0651'',''ST138-AL3'',1,2,0,0
16,''-9.96279;-36.065'',''ST139-AL7'',2,2,2,1
17,''-9.96279;-36.065'',''ST140-AL4'',2,1,0,1
18,''-9.96286;-36.0637'',''ST143-AL2'',1,0,1,0
19,''-9.96293;-36.062'',''ST144-AL5'',1,1,2,1
20,''-9.96299;-36.0621'',''ST146-AL4'',2,1,0,1
21,''-9.96316;-36.0459'',''ST149-AL1'',0,0,0,1
22,''-9.96613;-35.9755'',''ST150-AL3'',1,1,0,1
23,''-9.96781;-35.9768'',''ST151-AL4'',1,0,2,1
24,''-9.96871;-36.0362'',''ST152-AL7'',2,1,2,2
25,''-9.96889;-36.0368'',''ST153-AL5'',2,2,0,1
26,''-9.97328;-36.0357'',''ST155-AL5'',2,1,2,0
27,''-9.97329;-36.0357'',''ST156-AL5'',2,2,1,0
28,''-9.97667;-36.0331'',''ST159-AL4'',2,2,0,0
29,''-9.9768;-36.0332'',''ST160-AL2'',1,0,1,0
30,''-9.98849;-36.0168'',''ST163-AL2'',0,2,0,0
31,''-9.9889;-36.0166'',''ST164-AL3'',0,0,2,1
32,''-9.99295;-36.0328'',''ST165-AL3'',1,0,2,0
33,''-9.99318;-36.0181'',''ST166-AL2'',0,0,1,1
34,''-9.99554;-36.0332'',''ST167-AL2'',0,1,0,1
35,''-9.94639;-36.0996'',''ST170-AL3'',1,1,0,1
36,''-10.0018;-36.018'',''ST1-AL5'',1,0,2,2
37,''-10.0022;-36.0179'',''ST2-AL4'',2,0,2,0
38,''-10.0022;-36.0181'',''ST3-AL3'',0,0,2,1
39,''-10.0035;-36.0177'',''ST5-AL4'',0,0,2,2
40,''-10.0058;-36.0168'',''ST8-AL5'',2,1,1,1
41,''-10.0076;-36.0171'',''ST11-AL4'',2,0,2,0
42,''-10.0085;-36.0174'',''ST13-AL2'',0,0,0,2
43,''-10.0107;-36.0261'',''ST14-AL6'',2,2,2,0
44,''-10.0109;-36.0251'',''ST16-AL3'',0,1,1,1
45,''-10.0151;-36.0253'',''ST19-AL5'',1,2,2,0
46,''-10.0159;-36.023'',''ST21-AL5'',2,2,0,1
47,''-10.0171;-36.0237'',''ST22-AL6'',2,2,1,1
48,''-10.0248;-36.0245'',''ST23-AL4'',1,0,2,1
49,''-10.0289;-36.0226'',''ST24-AL6'',2,2,2,0
50,''-9.77955;-36.1042'',''ST27-AL6'',2,2,1,1
51,''-9.78076;-36.0934'',''ST28-AL1'',0,0,1,0
52,''-9.78213;-36.1034'',''ST30-AL4'',0,1,2,1
53,''-9.79033;-36.1046'',''ST33-AL4'',2,0,0,2
54,''-9.79589;-36.1056'',''ST36-AL5'',2,1,2,0
55,''-9.79641;-36.101'',''ST38-AL5'',2,1,0,2
56,''-9.83756;-36.1332'',''ST40-AL4'',1,0,1,2
57,''-9.84182;-36.1358'',''ST42-AL4'',1,1,2,0
58,''-9.84558;-36.1385'',''ST43-AL4'',1,2,1,0
59,''-9.87327;-36.1462'',''ST46-AL6'',2,2,0,2
60,''-9.87735;-36.1463'',''ST48-AL3'',0,0,2,1
61,''-9.87778;-36.178'',''ST49-AL1'',0,1,0,0
62,''-9.88212;-36.1726'',''ST52-AL2'',1,1,0,0
63,''-9.88359;-36.1616'',''ST53-AL2'',0,1,0,1
64,''-9.89341;-36.1469'',''ST55-AL3'',1,1,1,0
65,''-9.899;-36.2222'',''ST57-AL2'',0,1,0,1
66,''-9.89908;-36.2201'',''ST59-AL5'',1,2,0,2
